,mean_value,CellType,treatment,hallmark
84,8.793963,B,IFNb_Ctrl_2h,hallmark_ifnb
85,8.813412,B,IFNb_Ctrl_2h,hallmark_ifnb
86,8.787745,B,IFNb_Ctrl_2h,hallmark_ifnb
87,8.615363,B,IFNb_Ctrl_2h,hallmark_ifnb
88,8.739424,B,IFNb_Ctrl_2h,hallmark_ifnb
89,8.869482,B,IFNb_Ctrl_2h,hallmark_ifnb
90,8.668226,B,IFNb_Ctrl_2h,hallmark_ifnb
91,9.054951,B,IFNb_Ctrl_2h,hallmark_ifnb
92,8.762336,B,IFNb_Ctrl_2h,hallmark_ifnb
93,8.703724,B,IFNb_Ctrl_2h,hallmark_ifnb
94,8.6016245,B,IFNb_Ctrl_2h,hallmark_ifnb
95,8.897822,B,IFNb_Ctrl_2h,hallmark_ifnb
96,9.075982,B,IFNb_Ctrl_2h,hallmark_ifnb
97,8.742584,B,IFNb_Ctrl_2h,hallmark_ifnb
98,8.913368,B,IFNb_Ctrl_2h,hallmark_ifnb
99,8.957815,B,IFNb_Ctrl_2h,hallmark_ifnb
100,10.07003,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
101,10.2501545,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
102,10.234554,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
103,10.143378,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
104,10.003077,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
105,10.165855,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
106,10.264255,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
107,10.179733,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
108,9.926511,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
109,10.361851,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
110,10.183572,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
111,10.012344,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
112,10.111351,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
113,10.077514,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
114,10.13594,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
115,10.135266,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
116,10.011777,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
117,10.327248,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
118,10.139773,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
119,10.232679,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
120,10.237637,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
121,10.223692,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
122,10.195032,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
123,10.116977,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
124,10.18252,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
125,10.146212,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
126,10.199596,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
127,10.296411,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
128,10.145509,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
129,10.216047,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
130,10.128554,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
131,10.206717,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
132,10.239648,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
133,10.130309,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
134,10.091393,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
135,10.05324,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
136,10.110679,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
137,10.156345,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
138,10.120395,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
139,10.316092,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
140,9.906541,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
141,10.059619,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
142,10.208198,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
143,10.097376,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
144,10.264572,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
145,10.257921,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
146,10.129402,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
147,10.010433,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
148,10.203712,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
149,10.151901,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
