,hallmark,CellType,Condition1,Condition2,Statistic,p-value,mean1,mean2,p_adj
34,hallmark_ifna,CD4T,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-15.716443276474516,1.1669322874162805e-55,19.38352,28.698973,4.901115607148378e-53
35,hallmark_ifna,CD4T,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-28.89210407759987,1.5003207459842693e-183,19.38352,31.115423,6.301347133133931e-181
36,hallmark_ifna,CD4T,IFNb_RUX1000_2h,IFNb_BAR1000_2h,18.083947696638415,4.2643032832862665e-73,34.60678,26.034847,1.791007378980232e-70
37,hallmark_ifna,CD4T,IFNb_RUX1000_2h,IFNb_BMS1000_2h,8.601550936853705,7.864598300426082e-18,34.60678,28.698973,3.3031312861789545e-15
38,hallmark_ifna,CD4T,IFNb_RUX1000_2h,IFNb_ABR1000_2h,7.677628947665791,1.6206008817437957e-14,34.60678,31.115423,6.806523703323942e-12
39,hallmark_ifna,CD4T,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-4.919819525249907,8.662404792976177e-07,26.034847,28.698973,0.0003638210013049994
40,hallmark_ifna,CD4T,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-13.479141126738734,2.0750829008237987e-41,26.034847,31.115423,8.715348183459954e-39
41,hallmark_ifna,CD4T,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-3.6409325373273664,0.00027165231706194825,28.698973,31.115423,0.11409397316601827
42,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-6.177201383161207,6.524782622059419e-10,30.149286,33.121468,2.740408701264956e-07
43,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_DEU1000_2h,27.469199050411383,4.0980022044474166e-166,30.149286,14.929309,1.721160925867915e-163
44,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_RUX1000_2h,-0.6010783563631789,0.5477877983420643,30.149286,31.109148,1.0
45,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_BAR1000_2h,15.513842083833309,2.796336862068051e-54,30.149286,22.17895,1.1744614820685814e-51
46,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_BMS1000_2h,3.909188585866856,9.260665067901876e-05,30.149286,26.071629,0.038894793285187884
47,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_ABR1000_2h,2.337138329862405,0.019431992553654062,30.149286,29.04861,1.0
48,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_DEU1000_2h,33.00745979192109,6.3483539772877545e-239,33.121468,14.929309,2.666308670460857e-236
49,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_RUX1000_2h,3.5251049525970153,0.0004233150413685598,33.121468,31.109148,0.17779231737479512
50,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_BAR1000_2h,21.398105180120602,1.3914909932526174e-101,33.121468,22.17895,5.844262171660993e-99
51,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_BMS1000_2h,6.289430359360365,3.1863300681552616e-10,33.121468,26.071629,1.33825862862521e-07
52,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_ABR1000_2h,8.356836215225977,6.442264468134601e-17,33.121468,29.04861,2.7057510766165324e-14
53,hallmark_ifna,CD8T,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-21.163016411604797,2.0938938925956555e-99,14.929309,31.109148,8.794354348901753e-97
54,hallmark_ifna,CD8T,IFNb_DEU1000_2h,IFNb_BAR1000_2h,-16.32659862376318,6.384609575312886e-60,14.929309,22.17895,2.681536021631412e-57
55,hallmark_ifna,CD8T,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-10.68702704637425,1.1706336555323936e-26,14.929309,26.071629,4.916661353236053e-24
